feat_name_tierpsy,feat_name_openworm,feat_name_segworm
primary_wavelength,posture.primary_wavelength,/worm/posture/wavelength/primary
secondary_wavelength,posture.secondary_wavelength,/worm/posture/wavelength/secondary
track_length,posture.track_length,/worm/posture/tracklength
,,/worm/path/coordinates/x
,,/worm/path/coordinates/y
,,/worm/path/duration/arena/height
,,/worm/path/duration/arena/width
,,/worm/path/duration/head/indices
,,/worm/path/duration/midbody/indices
,,/worm/path/duration/tail/indices
,,/worm/path/duration/worm/indices
,,/worm/path/duration/arena/max/x
,,/worm/path/duration/arena/max/y
,,/worm/path/duration/arena/min/x
,,/worm/path/duration/arena/min/y
,,/worm/locomotion/motion/mode
,,/worm/posture/coils/frames/end
,,/worm/posture/coils/frames/start
,,/worm/locomotion/motion/backward/frames/end
,,/worm/locomotion/motion/backward/frames/start
,,/worm/locomotion/turns/upsilons/frames/end
,,/worm/locomotion/turns/upsilons/frames/isVentral
,,/worm/locomotion/turns/upsilons/frames/start
,,/worm/locomotion/motion/paused/frames/end
,,/worm/locomotion/motion/paused/frames/start
,,/worm/locomotion/motion/forward/frames/end
,,/worm/locomotion/motion/forward/frames/start
,,/worm/posture/skeleton/x
,,/worm/posture/skeleton/y
,,/worm/locomotion/turns/omegas/frames/isVentral
,,/worm/posture/coils/frames
,,/worm/locomotion/motion/forward/frames
,,/worm/locomotion/turns/omegas/frames/end
,,/worm/locomotion/motion/paused/frames
,,/worm/locomotion/motion/paused/ratio
,,/worm/locomotion/turns/omegas/frames/start
,,/worm/locomotion/motion/forward/ratio
,,/worm/locomotion/motion/backward/ratio
,,/worm/locomotion/motion/backward/frames
,,/worm/locomotion/turns/upsilons/frames
,,/worm/locomotion/turns/omegas/frames/time
